DATE,VALUE
1987-01-01,63.78
1987-04-01,65.79
1987-07-01,67.73
1987-10-01,69.62
1988-01-01,71.25
1988-04-01,72.82
1988-07-01,75.08
1988-10-01,77.06
1989-01-01,79.02
1989-04-01,80.78
1989-07-01,81.39
1989-10-01,82.21
1990-01-01,82.71
1990-04-01,82.33
1990-07-01,81.17
1990-10-01,79.93
1991-01-01,78.31
1991-04-01,77.62
1991-07-01,78.20
1991-10-01,78.18
1992-01-01,78.05
1992-04-01,77.85
1992-07-01,77.30
1992-10-01,76.95
1993-01-01,76.78
1993-04-01,76.31
1993-07-01,75.95
1993-10-01,75.87
1994-01-01,76.23
1994-04-01,76.68
1994-07-01,76.93
1994-10-01,77.15
1995-01-01,77.18
1995-04-01,76.77
1995-07-01,76.76
1995-10-01,76.89
1996-01-01,77.09
1996-04-01,77.43
1996-07-01,77.62
1996-10-01,78.17
1997-01-01,78.76
1997-04-01,79.56
1997-07-01,80.58
1997-10-01,81.99
1998-01-01,83.95
1998-04-01,85.89
1998-07-01,88.14
1998-10-01,89.74
1999-01-01,91.43
1999-04-01,93.82
1999-07-01,96.36
1999-10-01,98.91
2000-01-01,101.93
2000-04-01,105.96
2000-07-01,109.09
2000-10-01,112.53
2001-01-01,116.61
2001-04-01,118.98
2001-07-01,121.00
2001-10-01,123.48
2002-01-01,125.88
2002-04-01,130.37
2002-07-01,135.89
2002-10-01,140.98
2003-01-01,145.01
2003-04-01,148.15
2003-07-01,152.58
2003-10-01,159.21
2004-01-01,166.64
2004-04-01,175.62
2004-07-01,183.52
2004-10-01,189.56
2005-01-01,197.91
2005-04-01,206.04
2005-07-01,212.51
2005-10-01,219.85
2006-01-01,225.37
2006-04-01,226.40
2006-07-01,223.54
2006-10-01,222.72
2007-01-01,222.93
2007-04-01,219.13
2007-07-01,212.15
2007-10-01,204.18
2008-01-01,193.39
2008-04-01,182.78
2008-07-01,173.83
2008-10-01,165.00
2009-01-01,157.02
2009-04-01,152.53
2009-07-01,155.04
2009-10-01,157.59
2010-01-01,159.68
2010-04-01,160.14
2010-07-01,158.82
2010-10-01,156.82
2011-01-01,155.42
2011-04-01,153.99
2011-07-01,153.14
2011-10-01,151.03
2012-01-01,149.92
2012-04-01,152.15
2012-07-01,155.13
2012-10-01,158.20
2013-01-01,162.82
2013-04-01,169.60
2013-07-01,174.91
2013-10-01,179.95
2014-01-01,184.07
2014-04-01,185.44
2014-07-01,184.83
2014-10-01,187.54
2015-01-01,192.26
2015-04-01,193.88
2015-07-01,193.70
